#options: 854x480 fps=30000/1001 timebase=1001/30000 bitdepth=8 cabac=0 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=15 lookahead_threads=3 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=0 weightp=0 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=crf mbtree=1 crf=23.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:47 out:47 type:P dur:2 cpbdur:2 q:29.03 aq:20.68 tex:3023 mv:3046 misc:1291 imb:109 pmb:264 smb:1247 d:- ref:0 ;
in:48 out:48 type:P dur:2 cpbdur:2 q:29.03 aq:20.59 tex:3345 mv:3205 misc:1314 imb:120 pmb:255 smb:1245 d:- ref:0 ;
in:49 out:49 type:P dur:2 cpbdur:2 q:29.03 aq:21.23 tex:3126 mv:2981 misc:1333 imb:121 pmb:239 smb:1260 d:- ref:0 ;
in:50 out:50 type:P dur:2 cpbdur:2 q:29.03 aq:20.99 tex:3798 mv:3148 misc:1334 imb:144 pmb:246 smb:1230 d:- ref:0 ;
in:51 out:51 type:P dur:2 cpbdur:2 q:29.03 aq:21.04 tex:3252 mv:3192 misc:1324 imb:122 pmb:274 smb:1224 d:- ref:0 ;
in:52 out:52 type:P dur:2 cpbdur:2 q:29.03 aq:21.15 tex:3379 mv:2986 misc:1283 imb:121 pmb:240 smb:1259 d:- ref:0 ;
in:53 out:53 type:P dur:2 cpbdur:2 q:29.03 aq:21.55 tex:2300 mv:2551 misc:1173 imb:77 pmb:217 smb:1326 d:- ref:0 ;
in:54 out:54 type:P dur:2 cpbdur:2 q:29.03 aq:19.99 tex:17279 mv:10481 misc:1736 imb:724 pmb:413 smb:483 d:- ref:0 ;
in:55 out:55 type:P dur:2 cpbdur:2 q:29.03 aq:18.89 tex:7835 mv:5589 misc:1600 imb:203 pmb:413 smb:1004 d:- ref:0 ;
in:56 out:56 type:P dur:2 cpbdur:2 q:29.03 aq:18.09 tex:3580 mv:3434 misc:1402 imb:145 pmb:250 smb:1225 d:- ref:0 ;
in:57 out:57 type:P dur:2 cpbdur:2 q:29.03 aq:18.60 tex:2213 mv:2443 misc:1128 imb:86 pmb:197 smb:1337 d:- ref:0 ;
in:58 out:58 type:P dur:2 cpbdur:2 q:29.03 aq:19.92 tex:2700 mv:2348 misc:1096 imb:74 pmb:202 smb:1344 d:- ref:0 ;
in:59 out:59 type:P dur:2 cpbdur:2 q:29.03 aq:21.85 tex:1968 mv:2098 misc:1030 imb:44 pmb:196 smb:1380 d:- ref:0 ;
in:60 out:60 type:P dur:2 cpbdur:2 q:29.03 aq:18.88 tex:11034 mv:6811 misc:1715 imb:423 pmb:393 smb:804 d:- ref:0 ;
in:61 out:61 type:P dur:2 cpbdur:2 q:29.03 aq:21.03 tex:2267 mv:2118 misc:1063 imb:50 pmb:206 smb:1364 d:- ref:0 ;
in:62 out:62 type:P dur:2 cpbdur:2 q:29.03 aq:20.92 tex:14092 mv:10899 misc:1729 imb:825 pmb:377 smb:418 d:- ref:0 ;
in:63 out:63 type:P dur:2 cpbdur:2 q:29.03 aq:20.56 tex:16680 mv:9565 misc:1739 imb:592 pmb:387 smb:641 d:- ref:0 ;
in:64 out:64 type:P dur:2 cpbdur:2 q:29.03 aq:18.31 tex:16771 mv:9870 misc:1799 imb:581 pmb:454 smb:585 d:- ref:0 ;
in:65 out:65 type:P dur:2 cpbdur:2 q:29.03 aq:17.45 tex:5491 mv:4571 misc:1522 imb:192 pmb:303 smb:1125 d:- ref:0 ;
in:66 out:66 type:P dur:2 cpbdur:2 q:29.03 aq:17.39 tex:3406 mv:3506 misc:1312 imb:143 pmb:218 smb:1259 d:- ref:0 ;
in:67 out:67 type:P dur:2 cpbdur:2 q:29.03 aq:16.74 tex:3289 mv:3705 misc:1382 imb:137 pmb:241 smb:1242 d:- ref:0 ;
in:68 out:68 type:P dur:2 cpbdur:2 q:29.03 aq:17.53 tex:3865 mv:3245 misc:1354 imb:123 pmb:257 smb:1240 d:- ref:0 ;
in:69 out:69 type:P dur:2 cpbdur:2 q:29.03 aq:18.69 tex:3881 mv:3213 misc:1338 imb:103 pmb:287 smb:1230 d:- ref:0 ;
in:70 out:70 type:P dur:2 cpbdur:2 q:29.03 aq:18.89 tex:3902 mv:2833 misc:1377 imb:131 pmb:233 smb:1256 d:- ref:0 ;
in:71 out:71 type:P dur:2 cpbdur:2 q:29.03 aq:17.91 tex:4653 mv:3323 misc:1424 imb:117 pmb:311 smb:1192 d:- ref:0 ;
in:72 out:72 type:P dur:2 cpbdur:2 q:29.03 aq:18.52 tex:3449 mv:2585 misc:1302 imb:103 pmb:237 smb:1280 d:- ref:0 ;
in:73 out:73 type:P dur:2 cpbdur:2 q:29.03 aq:19.01 tex:3114 mv:2608 misc:1302 imb:117 pmb:230 smb:1273 d:- ref:0 ;
in:74 out:74 type:P dur:2 cpbdur:2 q:29.03 aq:20.00 tex:5378 mv:5349 misc:1553 imb:336 pmb:257 smb:1027 d:- ref:0 ;
in:75 out:75 type:P dur:2 cpbdur:2 q:29.03 aq:21.84 tex:13449 mv:8514 misc:1669 imb:598 pmb:360 smb:662 d:- ref:0 ;
in:76 out:76 type:P dur:2 cpbdur:2 q:29.03 aq:20.85 tex:16126 mv:8948 misc:1774 imb:591 pmb:442 smb:587 d:- ref:0 ;
in:77 out:77 type:P dur:2 cpbdur:2 q:29.03 aq:20.46 tex:2906 mv:2340 misc:1170 imb:85 pmb:220 smb:1315 d:- ref:0 ;
in:78 out:78 type:P dur:2 cpbdur:2 q:29.03 aq:19.47 tex:6610 mv:7750 misc:1680 imb:438 pmb:344 smb:838 d:- ref:0 ;
in:79 out:79 type:P dur:2 cpbdur:2 q:29.03 aq:18.42 tex:15533 mv:12556 misc:1775 imb:1062 pmb:324 smb:234 d:- ref:0 ;
in:80 out:80 type:P dur:2 cpbdur:2 q:29.03 aq:18.72 tex:11896 mv:8082 misc:1638 imb:327 pmb:414 smb:879 d:- ref:0 ;
in:81 out:81 type:P dur:2 cpbdur:2 q:29.03 aq:18.22 tex:8810 mv:6693 misc:1729 imb:301 pmb:421 smb:898 d:- ref:0 ;
in:82 out:82 type:P dur:2 cpbdur:2 q:29.03 aq:16.61 tex:3768 mv:4154 misc:1406 imb:161 pmb:242 smb:1217 d:- ref:0 ;
in:83 out:83 type:P dur:2 cpbdur:2 q:29.03 aq:17.53 tex:4347 mv:3467 misc:1386 imb:146 pmb:249 smb:1225 d:- ref:0 ;
in:84 out:84 type:P dur:2 cpbdur:2 q:29.03 aq:18.51 tex:3535 mv:2802 misc:1335 imb:88 pmb:234 smb:1298 d:- ref:0 ;
